Genes,Importances
PPP1R27,0.000828771
TPPP,0.00082802
APOL1,0.00082766
MBIP,0.000826774
PTGS2,0.00082491
HP,0.000823659
C3P1,0.00082331
KCNAB2,0.000822756
RN7SL140P,0.000822625
MMP10,0.000821259
RCCD1,0.000820525
OR7E91P,0.000820195
RN7SL587P,0.00082014
OR6C75,0.000820031
OR4A19P,0.000819931
KRASP1,0.000819247
MIR5692C1,0.000819165
HAO1,0.000818553
BSPH1,0.000818283
NEU4,0.000817785
P2RX4,0.000817755
FOXA3,0.000817396
RPSAP67,0.000816169
REG3A,0.000815351
POTEM,0.000815117
EIF4HP1,0.000814936
DHX40P1,0.00081388
CLDN4,0.000813306
VIPR1,0.00081281
RABAC1,0.0008126
PRR27,0.000812182
ROBO3,0.000811995
NOD2,0.000811879
CYLD,0.000811531
ADGRB3,0.000810914
DPPA5P4,0.000810631
CAMSAP2,0.000809827
CLRN1,0.000808902
KCNQ3,0.0008086
LIAS,0.000808427
PRSS40A,0.000808312
PABPC1,0.000806654
YIPF1,0.000806456
CAMTA1,0.000805426
RN7SL248P,0.000803954
TCEAL8,0.000803371
NR4A2,0.000803116
ZFHX4,0.000802789
SLC45A1,0.000802773
SOX14,0.000801464
PRCC,0.000801217
PDE4DIP,0.000801203
ZFHX3,0.000801061
NKX3-2,0.00080086
YBX2,0.000800315
POP4,0.000800226
ZNF564,0.000799581
DEFA9P,0.000797921
LIN54,0.000796246
UTY,0.000796137
SLC16A6,0.000795546
RN7SKP12,0.000794933
LGALS2,0.000794584
ACSM2B,0.000794353
DRAM1,0.000792656
THUMPD3P1,0.000792576
SUSD4,0.00079257
PCDHB6,0.000792347
CLEC3A,0.000791261
UBTF,0.000791078
VWFP1,0.000790604
QSOX1,0.000789607
HK2,0.000789106
RN7SL708P,0.000789043
MAP2K4,0.000788803
CCL28,0.000788373
ADAM2,0.000787653
MRFAP1L1,0.000787077
RPS28P1,0.000787041
FAM89B,0.000786665
FAM153B,0.000786274
ZNF620,0.000785451
TMEM52B,0.000785434
CKS1BP6,0.00078511
LINC01630,0.00078425
CRPPA,0.000784064
CHTF18,0.000784001
RNF128,0.00078383
PRR16,0.000781946
SLC2A3,0.000781604
PRUNE1,0.000781472
CDHR5,0.000781469
LINC02595,0.000781043
OR5AC4P,0.000780729
CLTB,0.000780038
ARCN1,0.000779688
TAS2R3,0.000779234
EPB41,0.000779168
SEMA3C,0.00077899
FAM117A,0.000775708
C20orf96,0.000775615
FBXO28,0.000775588
SOWAHC,0.000775566
ARHGEF38-IT1,0.000775273
TMEM235,0.00077523
H4C5,0.000774475
H3P38,0.000773944
GPR152,0.000772383
MCAT,0.000771755
IL1RL2,0.000771681
DNPEP,0.000771376
ANKRD24,0.000771281
MYO1E,0.00077077
PLG,0.000770522
COQ6,0.000770436
MUC16,0.00077007
AGA,0.000769662
OR9Q2,0.000769382
SLC30A4,0.000769065
NUDT2,0.000768886
RPS26P21,0.000768067
MIR3919,0.000766794
SPATA21,0.000765788
CORO6,0.000765688
MRPS26,0.000765507
REV3L-IT1,0.000765383
GDPD2,0.000765303
WASHC2C,0.000765208
KCNA1,0.000764488
UBE2Q2P6,0.000764481
SLAIN2,0.000764373
MTND1P28,0.000763979
VPS4B,0.000762554
RAPGEF4,0.00076185
MIR6877,0.000761048
SCRG1,0.000760748
RPL13AP25,0.000760288
RPL23AP81,0.000760219
TRAJ23,0.000759873
ARHGEF12,0.000759684
ZFHX2-AS1,0.000759245
RNU6-84P,0.000758752
C9orf85,0.000758626
CUBN,0.000757582
RN7SL453P,0.000757207
KIR3DL1,0.000756491
RBFOX1,0.000756423
DCTN2,0.0007563
NPR2,0.000756245
TARS2,0.000755699
FANCG,0.000755092
PFN4,0.000754853
RWDD2B,0.000754282
UXT,0.000754123
PALB2,0.000753488
ITGBL1,0.000753477
PCBP1-AS1,0.000753146
RNF227,0.000752848
MLXIPL,0.000751293
NEK4P3,0.000751162
ELF4,0.000750534
EEF1DP5,0.000747686
GCSHP2,0.000747058
